datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,WEST,ATSI,PAPWR,574.995,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,PE,PE,3824.518,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2341.979,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,PL,PLCO,4366.008,False
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,PN,PN,1959.874,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,PS,PS,4234.214,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,RECO,RECO,123.390,False
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,PEP,SMECO,379.851,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,PL,UGI,111.230,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RFC,MIDATL,AE,VMEU,69.893,True
12/1/2022 6:00:00 AM,12/1/2022 1:00:00 AM,RTO,RTO,RTO,RTO,85529.574,False
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,AE,AECO,868.118,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPAPT,4725.096,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPIMP,3038.402,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPKPT,753.004,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6432.514,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,AP,AP,5673.798,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,MIDATL,BC,BC,3110.265,True
12/1/2022 7:00:00 AM,12/1/2022 2:00:00 AM,RFC,WEST,CE,CE,10175.982,True
